0
0
0
0
0
0
0
0
55
7
7
1059
767
398
1956,341
1209,165
1492,1227
1104,453
1623,517
1085,349
1493,185
375,696
672,1343
1056,1909
305,1844
1481,993
900,265
1171,362
1397,4
1338,1316
220,1191
332,549
1773,1451
1052,269
576,1873
1081,621
1087,395
891,579
662,79
371,1175
512,791
270,595
960,301
475,471
619,507
1284,1789
106,623
871,412
481,1906
498,1106
502,1237
1124,986
837,1369
163,213
1545,1283
1002,1381
1192,983
413,915
895,790
500,1793
399,1492
1913,319
1583,1819
1797,1172
1245,1512
872,1761
713,927
959,1474
1492,142
196,27
745,1552
270,1789
129,1729
133,1751
161,1646
1381,107
846,1804
1907,425
1697,416
1244,500
1739,166
282,31
1591,713
332,803
936,618
626,1035
864,1406
1199,220
856,1728
856,1486
1935,1499
729,1898
611,323
1896,1253
466,679
756,1260
25,1279
1503,114
674,1214
1460,1575
197,1838
909,1003
417,861
948,443
1469,1756
1082,490
418,1561
1302,251
617,959
1501,345
1761,1066
1210,1558
1500,64
61,175
1048,99
1586,29
1836,406
1527,839
1399,1537
1545,363
84,1096
129,1521
1884,1036
48,502
1240,1310
1721,1038
341,444
276,210
11,428
302,738
798,223
430,981
524,1444
1413,182
97,918
127,1854
1936,1292
466,1157
767,1132
1291,1937
1566,854
1180,390
1081,1272
775,1868
546,484
1748,1158
1190,1644
1849,1632
155,711
719,1557
1791,248
1536,226
323,1226
560,1035
93,1445
1411,1944
646,1672
1659,1158
1405,476
355,1420
1648,1099
1849,79
689,672
255,1565
70,1805
157,184
454,1743
831,311
1857,951
1635,220
1588,95
839,779
1409,727
697,1690
130,958
1678,2
330,1318
647,1281
17,293
1018,24
342,311
732,1725
1153,115
890,891
379,13
108,1829
143,687
1359,175
1695,448
253,1850
616,66
674,1760
1915,36
549,236
361,116
284,561
526,1700
1281,1529
1827,1776
5,21
1949,1188
1700,51
1777,98
1636,999
363,542
179,1879
232,1133
992,110
968,559
1338,403
220,139
1133,1369
500,16
1506,1136
808,129
1146,1790
286,1167
1591,601
1942,1436
1589,571
786,66
1572,1196
1614,182
52,1657
685,563
1074,1362
1547,189
459,331
1673,1876
1625,61
1341,1429
697,952
276,1294
1091,1159
1265,1318
556,260
1521,936
1396,315
1099,244
1472,1449
1185,1301
1175,523
823,868
867,369
375,739
853,78
1948,381
868,1319
482,1521
1373,714
640,1625
312,503
396,657
1861,251
487,1163
945,1271
1723,1844
1033,444
1038,378
531,1559
1787,1389
1952,1123
1866,396
553,1979
642,614
97,1974
881,682
523,7
1482,1674
144,1289
365,1694
1657,311
676,147
1897,642
362,823
1749,46
919,1174
1822,723
757,393
780,113
244,903
259,993
1588,1569
13,1929
1817,515
238,234
1555,1218
833,1724
1961,80
22,1107
587,550
1223,1177
1417,1411
1139,376
1109,1734
893,1879
1536,1800
761,166
1669,1129
1833,233
1693,1912
1556,752
601,1279
392,1556
1009,1948
130,1052
101,334
832,1666
1787,333
715,81
410,1395
1038,1781
1013,1244
1509,1161
1240,1775
1248,682
191,163
1315,1656
205,1602
884,623
813,498
1320,587
475,307
1750,1736
255,853
435,1898
1716,109
1220,1228
726,1658
1545,1978
934,712
1698,1797
1505,742
423,120
775,562
1569,147
154,44
1728,766
1739,1969
1153,1241
1907,5
1941,591
1341,1772
989,1135
1541,1664
1950,118
1453,340
1853,1378
697,1010
1070,599
693,1903
988,508
814,588
914,191
1769,1231
1711,328
1429,110
167,1460
816,795
1617,855
1655,1722
1139,654
1334,459
1285,1490
765,62
1205,821
1659,90
1163,179
794,857
219,1564
121,1471
924,957
1087,1944
1780,521
614,574
1198,1848
765,994
208,57
855,551
122,362
563,1640
957,1530
1203,1154
1674,388
502,1441
1226,327
935,1833
1638,1632
386,1845
1600,282
352,1840
1712,5
1668,422
1693,1210
76,1938
1755,1386
826,652
1978,416
965,139
718,768
1578,326
443,1653
1613,1820
846,338
1012,1431
665,18
1125,186
1254,845
626,40
1830,1449
10,925
1168,1717
